"ensembl_gene_id"	"hgnc_symbol"	"KO1"	"KO2"	"KO3"	"WT1"	"WT2"	"WT3"
"1"	"ENSG00000000419"	"DPM1"	65.547914442646	64.6339501830109	67.6553709787918	67.0148959355879	67.5539524239445	65.9709307720729
"2"	"ENSG00000000457"	"SCYL3"	7.2358087371752	8.30637110785682	8.77788131851932	6.10325021595526	6.23669944681754	7.07245479278813
"3"	"ENSG00000000460"	"C1orf112"	14.4716174743504	16.6127422157136	16.3017795915359	38.6740607743699	32.48023672303	34.2608260863753
"4"	"ENSG00000000971"	"CFH"	0.0608051154384471	0.10382963884821	0	4.47168827703652	5.31045695471593	4.0579658647145
"5"	"ENSG00000001036"	"FUCA2"	88.5930531938174	91.9411452000902	88.8536557956241	77.7106908684996	80.0273513175796	78.3767121299144
"6"	"ENSG00000001084"	"GCLC"	76.1888096443742	85.2960483138047	81.2700440442503	99.8274193738424	102.195421628545	97.9129192214684
"7"	"ENSG00000001167"	"NFYA"	26.3286149848476	28.9165544192266	25.8559361286998	41.3933306725678	38.9639341677413	38.7825594784857
"8"	"ENSG00000001460"	"STPG1"	21.2817904034565	19.72763138116	17.4960491586814	5.9219655560754	8.33618242891454	6.66665820631668
"9"	"ENSG00000001461"	"NIPAL3"	57.521639204771	60.0654460736896	59.7134783572743	25.5007088231002	27.8490242625219	28.231848230228
"10"	"ENSG00000001497"	"LAS1L"	81.3572444566422	87.0611521742243	78.6426509965302	158.503220954957	139.43036981103	154.028790036378
"11"	"ENSG00000001617"	"SEMA3F"	35.3277720697378	32.0314435846729	32.663272661429	14.9861985500684	16.1166193625681	12.347810416917
"12"	"ENSG00000001629"	"ANKIB1"	102.456619513783	104.400701861875	115.426153664611	57.6485218417952	57.7975315071408	60.695575147944
"13"	"ENSG00000001630"	"CYP51A1"	11.6137770487434	11.2136009956067	7.40447131630201	9.78937163351239	7.47168943628636	12.231868535068
"14"	"ENSG00000001631"	"KRIT1"	48.826507697073	51.3956712298641	49.5621870365376	25.4402806031402	24.3293027925358	28.5217029348505
"15"	"ENSG00000002016"	"RAD52"	6.99258827542142	5.60680049780336	5.7922074006556	6.22410665587516	7.84218643312701	6.89854197001465
"16"	"ENSG00000002330"	"BAD"	9.78962358558998	9.96764532942819	7.58361175137383	6.28453487583512	5.18695795576904	8.05796078850451
"17"	"ENSG00000002549"	"LAP3"	48.9481179279499	49.0595043557794	48.3679174693922	53.0559771248388	52.5488240518983	54.9564519964192
"18"	"ENSG00000002745"	"WNT16"	1.52012788596118	1.86893349926779	1.43312348057458	5.74068089619554	4.87821045840184	5.27535562412885
"19"	"ENSG00000002746"	"HECW1"	24.2004359445019	25.3863466983874	26.9307787391307	28.340835161218	27.6637757641016	31.5361918629241
"20"	"ENSG00000002822"	"MAD1L1"	50.2858304675958	47.1905708565116	47.890209642534	36.6195012957315	34.0857237093394	33.9709713817528
"21"	"ENSG00000002834"	"LASP1"	441.505943198564	431.931297608555	428.802488083587	368.551713535754	345.920696050217	362.31838077808
"22"	"ENSG00000002919"	"SNX11"	33.1995930293921	28.7608099609542	29.7970257002799	20.6664512263039	23.5883087988545	22.2028703740808
"23"	"ENSG00000003056"	"M6PR"	147.63482028455	151.487443079539	148.447707196184	91.0653274796492	90.4630167285911	86.8404695048903
"24"	"ENSG00000003096"	"KLHL13"	183.327423046918	181.546123526096	196.218489882003	202.071967546083	211.183288199168	195.825838442937
"25"	"ENSG00000003137"	"CYP26B1"	12.9514895883892	13.8612567862361	16.7197739400368	2.29627235847822	2.96397597472517	2.84057610530015
"26"	"ENSG00000003249"	"DBNDD1"	7.78305477612123	7.0604154416783	8.3598869700184	17.5241837883864	18.8953468388729	19.4202652097051
"27"	"ENSG00000003393"	"ALS2"	14.958058397858	16.4569977574413	12.5995439333849	10.6957949329117	11.9794028978476	12.4057813578415
"28"	"ENSG00000003400"	"CASP10"	1.88495857859186	2.49191133235705	1.91083130743278	0.181284659879859	0.246997997893764	0.173912822773479
"29"	"ENSG00000003402"	"CFLAR"	29.2472605258931	25.8535800732044	26.2142169988434	16.4969040490672	16.240118361515	15.7680959314621
"30"	"ENSG00000003436"	"TFPI"	0	0.10382963884821	0	20.1830254666243	23.5883087988545	21.4492481420624
"31"	"ENSG00000003509"	"NDUFAF7"	18.6063653241648	19.8833758394323	24.0048182996243	23.4461493444618	22.4768178083325	22.3188122559298
"32"	"ENSG00000003756"	"RBM5"	39.5233250349906	35.0944179306951	38.9331878889428	33.7189467376538	34.8884672024942	34.9564773774692
"33"	"ENSG00000003989"	"SLC7A2"	204.913239027567	215.965648804277	227.448639062858	22.4188696051426	22.8473148051732	26.7246037661912
"34"	"ENSG00000004059"	"ARF5"	92.8494112745087	83.6866889116575	86.8831110098341	61.1533585994725	60.3292609855519	64.5216572489606
"35"	"ENSG00000004139"	"SARM1"	3.76991715718372	3.53020772083915	3.16481435293554	1.99413125867845	2.96397597472517	3.18840175084711
"36"	"ENSG00000004142"	"POLDIP2"	185.516407202702	178.275489902377	170.899975058519	196.331286649887	195.437165833441	194.956274329069
"37"	"ENSG00000004399"	"PLXND1"	703.271965161079	661.913947657341	643.114161907844	338.035462455977	347.711431534946	347.303907078637
"38"	"ENSG00000004455"	"AK2"	213.061124496319	229.255842576848	228.165200803145	394.656704558453	387.292860697422	386.724146907292
"39"	"ENSG00000004478"	"FKBP4"	138.514052968782	139.858523528539	139.968393269451	250.958397493685	244.528017914826	254.608372540373
